Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables
Cook Islands,Primary production,---,---,---,---,---,---,---,38,---,38,38
Cook Islands,Imports,---,---,---,*1528,---,---,---,---,---,*1528,---
Cook Islands,Exports,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,International marine bunkers,---,---,---,*-63,---,---,---,---,---,*-63,---
Cook Islands,International aviation bunkers,---,---,---,*-416,---,---,---,---,---,*-416,---
Cook Islands,Stock changes,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Total energy supply,---,---,---,*1049,---,---,---,38,---,*1087,38
Cook Islands,Statistical differences,---,---,---,*0,---,---,---,0,---,*0,38
Cook Islands,Transfers and recycled products,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Transformation,---,---,---,*-348,---,---,---,111,---,*-237,---
Cook Islands,Electricity  CHP & Heat Plants,---,---,---,*-348,---,---,---,111,---,*-237,---
Cook Islands,Electricity Plants,---,---,---,*-348,---,---,---,111,---,*-237,---
Cook Islands,CHP plants,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Heat plants,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Coke ovens,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Briquetting plants,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Liquefaction plants,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Gas works,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Blast furnaces,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,NGL & gas blending,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Oil refineries,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Other transformation,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Energy industries own use,---,---,---,---,---,---,---,0,---,0,---
Cook Islands,Losses,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Final consumption,---,---,---,*701,---,---,---,149,---,*850,---
Cook Islands,Final Energy Consumption,---,---,---,*701,---,---,---,149,---,*850,---
Cook Islands,Manufacturing  const. and mining,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Iron and steel,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Chemical and petrochemical,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Non-ferrous metals,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Non-metallic minerals,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Transport equipment,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Machinery,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Mining and quarrying,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Food and tobacco,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Paper  pulp and printing,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Wood and wood products,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Textile and leather,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Construction,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Industry n.e.s,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Transport,---,---,---,*701,---,---,---,---,---,*701,---
Cook Islands,Road,---,---,---,*318,---,---,---,---,---,*318,---
Cook Islands,Rail,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Domestic aviation,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Domestic navigation,---,---,---,*95,---,---,---,---,---,*95,---
Cook Islands,Pipeline transport,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Transport n.e.s,---,---,---,*288,---,---,---,---,---,*288,---
Cook Islands,Other Consumption,---,---,---,---,---,---,---,149,---,149,---
Cook Islands,Agriculture  forestry and fishing,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Commerce and public services,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Households,---,---,---,---,---,---,---,---,---,---,---
Cook Islands,Other consumption n.e.s,---,---,---,---,---,---,---,149,---,149,---
Cook Islands,Non-energy use,---,---,---,---,---,---,---,---,---,---,---
